,ts,x,y,rssi_3,rssi_4,rssi_5,rssi_8,rssi_10,rssi_11
138,1.6250475517803333e+18,-3.3498356642670637,1.4386214643900113,-45.0,,-56.247093655624106,-52.0,-56.037072019552866,-53.318630171393735
139,1.6250475521136668e+18,-3.3498356642670637,1.4386214643900113,-51.245951332274956,-62.308438357056815,-56.90753080753845,-53.86382706190041,-67.7445762006788,-55.220202460114145
140,1.625047552447e+18,-3.3467453897555175,1.411704214450059,-53.92358370267847,-64.0,-65.0,-52.633362043729186,-64.47128104620114,-68.0
141,1.6250475527803333e+18,-3.3459734839273922,1.444132917560028,-54.36194447912907,-60.47128104620114,-56.52724374661271,,-61.0,
142,1.6250475531136668e+18,-3.3459734839273922,1.444132917560028,-57.0,-64.55489532554688,-56.0,-50.0,-63.03707201955285,-56.44026063356477
143,1.625047553447e+18,-3.343314170096232,1.4297284868523759,-53.0,-64.03707201955287,-56.69825398875229,-50.0,-60.55489532554688,-64.59637310505757
144,1.6250475537803333e+18,-3.343314170096232,1.4297284868523759,-55.57007447761685,-62.220202460114145,-62.0,-54.12339991261589,-64.59637310505757,
145,1.6250475541136668e+18,-3.3413520310418674,1.4249781125026393,-56.0,-64.22020246011415,-57.698253988752285,-50.280013442826856,-60.55489532554688,-59.711659308783645
146,1.625047554447e+18,-3.3431695653458537,1.434624568566135,-55.57007447761685,-60.47128104620114,-59.0,-53.10171907997915,-56.22020246011415,-57.840757063844485
147,1.6250475547803333e+18,-3.3431695653458537,1.434624568566135,-55.98896257656086,-62.88587392869641,-54.94256209240228,-53.54768137255898,-59.88587392869641,
148,1.6250475551136668e+18,-3.3529118417489396,1.438673832235072,-55.0,-62.512886961819106,-59.97252667057757,-50.0,-60.64333164986313,-57.646852478612736
149,1.625047555447e+18,-3.3529118417489396,1.438673832235072,-56.14555418194013,-59.47128104620114,-62.16241031110505,-50.5494042720193,-64.24595133227496,-55.67834375675553
150,1.6250475557803333e+18,-3.3529118417489396,1.438673832235072,-57.0,-59.245951332274956,-62.0,-48.0,-57.59637310505756,-53.22020246011414
151,1.6250475561136668e+18,-3.3630463625183604,1.4243278341307004,-57.92358370267848,-58.88587392869641,-57.0,-46.0,-58.495330536387506,-53.495330536387506
152,1.625047556447e+18,-3.3704316621621655,1.4215252485417842,-55.0,-60.55489532554688,-61.0,-52.67420030089952,-59.49533053638751,-55.37137961520601
153,1.6250475567803333e+18,-3.3704316621621655,1.4215252485417842,-58.226450337997385,-60.47128104620114,-61.92358370267847,-47.94200867351528,-57.94200867351528,-54.37137961520602
154,1.6250475571136668e+18,-3.3704316621621655,1.4215252485417842,-57.0,-60.0,-60.640468339958204,-49.96708621881339,-61.92449996433946,-54.220202460114145
155,1.625047557447e+18,-3.3824630652247576,1.427479441693238,-58.0,-54.49533053638751,-59.308438357056815,-51.0,-58.924499964339454,-54.59637310505756
156,1.6250475577803333e+18,-3.3824630652247576,1.427479441693238,-61.08412542943876,-53.37137961520601,-60.0,-56.0,-57.98298391329042,-52.03707201955286
157,1.6250475581136668e+18,-3.4015018563731454,1.4263485552893502,-60.97252667057758,-53.22020246011414,-62.0,-55.979400086720375,-57.99304470635189,-56.0
158,1.625047558447e+18,-3.4219754757475647,1.427801174489438,-62.75575955874768,-54.57542523994925,-59.308438357056815,-55.130881657557886,-58.967086218813385,-52.03707201955286
159,1.6250475587803333e+18,-3.4219754757475647,1.427801174489438,-61.0,-53.37137961520601,-59.0,-55.979400086720375,-62.94200867351528,-52.220202460114145
160,1.6250475591136668e+18,-3.55809375606843,1.3584250446848742,-64.0,-51.0,-58.0,-51.0,-61.94200867351529,-53.55489532554688
161,1.625047559447e+18,-3.55809375606843,1.3584250446848742,-62.640468339958204,-54.220202460114145,-59.570074477616856,-52.54901959985743,-62.75883680613055,-56.0
162,1.6250475597803333e+18,-3.7067553824312935,1.2822165747541532,-59.0,-54.220202460114145,-59.0,-56.13088165755788,-62.875090735559425,-58.55489532554688
163,1.6250475601136668e+18,-3.872269999252079,1.1984992428385224,-61.960815018831795,-53.29513326455404,-57.88587392869641,-54.797915937497265,-61.92449996433946,-55.24595133227496
164,1.625047560447e+18,-3.872269999252079,1.1984992428385224,-57.0,-68.55489532554688,-59.0,-54.924295089030494,-64.81698947597886,-52.71348352474543
165,1.6250475607803333e+18,-3.923564422213619,1.1708110030925727,-54.599584609530055,-68.22020246011414,-58.49431903089459,-48.84075706384448,-63.79791593749726,-51.49533053638751
166,1.6250475611136668e+18,-3.9571222219348967,1.1526775510599692,-52.86810635193201,-57.83647644938695,-54.0,-49.74457620067879,-66.04336426322152,-53.79791593749726
167,1.625047561447e+18,-3.9571222219348967,1.1526775510599692,-54.220202460114145,-62.81698947597886,-58.93479615388941,-51.003422301696624,-61.67834375675554,-50.00164327581188
168,1.6250475617803333e+18,-3.954325010675129,1.1461092271944535,-57.98528966022041,-62.37137961520602,-54.0,-51.596373105057566,-69.22020246011415,-48.84075706384448
169,1.6250475621136668e+18,-3.9500984280893734,1.147878640898946,-53.0,-60.55489532554688,-58.296252560691016,-50.84075706384448,-62.988588034998365,-48.875090735559425
170,1.625047562447e+18,-3.9500984280893734,1.147878640898946,-46.0,-61.037072019552866,-59.0,-50.67834375675553,-63.03707201955285,-58.03707201955285
171,1.6250475627803333e+18,-3.9573919731248957,1.1220426451617895,-62.0,-62.0,-57.16241031110505,,,
172,1.6250475631136668e+18,-3.961188299773503,1.090565663309676,-51.08412542943876,-61.47128104620114,-52.0,-53.495330536387506,-61.32386600005731,-52.78293766150711
173,1.625047563447e+18,-3.961188299773503,1.090565663309676,-48.02467948506365,-61.55489532554688,-53.98528966022042,-51.044070458214904,-64.55489532554688,-58.03707201955285
174,1.6250475637803333e+18,-3.9566066700545655,1.070267061708508,-64.0,-61.55489532554688,-59.0,,,
175,1.6250475641136668e+18,-3.930639054543205,1.0442589573640977,-49.347921089903586,-61.245951332274956,-56.0,-50.82805937992079,-64.02617637174801,-56.37137961520602
176,1.625047564447e+18,-3.930639054543205,1.0442589573640977,-59.0,-62.245951332274956,-55.0,-53.32386600005731,-64.55489532554688,-56.67834375675554
177,1.6250475647803333e+18,-3.9198175688157533,1.030981937942389,-49.42971350721563,-61.55489532554688,-56.308438357056815,-57.0,,
178,1.6250475651136668e+18,-3.9053714124938215,1.0300059249229752,-56.0,-61.55489532554688,-57.0,-59.0,-64.68396554736265,-55.113146361303215
179,1.625047565447e+18,-3.9053714124938215,1.0300059249229752,-48.308438357056815,-62.03707201955286,-56.0,-57.0,-64.55489532554688,-56.54555797142077
180,1.6250475657803333e+18,-3.9066785952971834,0.9638334703815201,-53.0,-61.0,-56.52724374661272,-53.52724374661271,-64.24595133227496,
181,1.6250475661136668e+18,-3.9064446809987525,0.7969377917029403,-48.57007447761685,-63.24595133227496,-55.92358370267847,-54.98528966022042,-64.24595133227496,-55.79791593749726
182,1.625047566447e+18,-3.9064446809987525,0.7969377917029403,-54.0,-63.55489532554688,-56.0,-51.21103018281988,-64.540296684027,-56.90571363235485
183,1.6250475667803333e+18,-3.895816469281119,0.6128060740408862,-60.0,-63.24595133227496,-57.93595306017916,-57.0,,
184,1.6250475671136668e+18,-3.882416929286029,0.42221085660641994,-48.545287296607675,-65.16913802993075,-55.0,-57.0,-64.14025600826206,-56.67834375675554
185,1.625047567447e+18,-3.882416929286029,0.42221085660641994,-51.003422456311654,-66.88587392869641,-57.308438357056815,-43.35634832584853,-59.0,-44.78620095848975
186,1.6250475677803333e+18,-3.8659751509764533,0.22053411573098466,-48.0,-73.88587392869641,-52.0,-52.21867240706356,-61.55489532554688,
187,1.6250475681136668e+18,-3.8455992042889284,0.02888241508963783,-53.0,-64.67834375675554,-63.0,-43.0,-60.816989475978865,-50.924499964339454
188,1.625047568447e+18,-3.8455992042889284,0.02888241508963783,-59.0,-64.47128104620114,-55.499019027707334,-45.0,-61.77174785739283,-54.81459005656326
189,1.6250475687803333e+18,-3.820431697520327,-0.17021562464636666,-53.16378581113899,-60.220202460114145,-54.30670116886927,-42.20751468003442,-63.0,-54.03707201955286
190,1.6250475691136668e+18,-3.820431697520327,-0.17021562464636666,-53.1282221998689,-62.20149560566935,-51.0,-45.12410727762814,-62.55489532554687,-52.744576200678786
191,1.625047569447e+18,-3.8035398709447215,-0.2837802168268044,-43.22020246011414,-66.14555418194013,-54.08412542943876,-42.0,-60.86459584399115,-47.516513268820255
192,1.6250475697803333e+18,-3.7939324517563597,-0.34030088618725335,-46.604787411824226,-64.0,-58.54768137255898,-42.01314424701703,-63.816989475978865,
193,1.6250475701136668e+18,-3.7939324517563597,-0.34030088618725335,-46.17667146632201,-62.0,-57.81698947597886,-42.0,-56.94200867351529,-48.90255770152024
194,1.625047570447e+18,-3.7939324517563597,-0.34030088618725335,-52.580787011044386,-69.88587392869641,-55.12410727762814,-47.640468339958204,-56.797915937497265,-48.91797365431465
195,1.6250475707803333e+18,-3.78516104372161,-0.3332480429891816,-46.22763095213669,-66.29446374804034,-53.16241031110505,-44.245951332274956,-64.7445762006788,
196,1.6250475711136668e+18,-3.78516104372161,-0.3332480429891816,-45.0,-78.0,-59.0,-44.49533053638751,-59.67834375675554,-50.98298391329042
197,1.625047571447e+18,-3.7715501878308824,-0.31831790342644045,-46.247093655624106,-67.85129512973873,-58.03707201955285,-45.24595133227496,-67.24595133227496,-49.1913872331245
198,1.6250475717803333e+18,-3.7789336918878305,-0.3391289597068789,-47.0,-65.47128104620114,-60.05448044746933,-42.245951332274956,-61.2330578134214,-47.94200867351528
199,1.6250475721136668e+18,-3.7789336918878305,-0.3391289597068789,-52.323866000057315,-72.03707201955285,-60.06709773026256,-46.062181906798955,-62.0,-46.967086218813385
200,1.625047572447e+18,-3.7859735984990164,-0.3424477316325272,-51.43025578968134,-74.7445762006788,-62.0,-46.88587392869641,-62.481942409773424,-49.96708621881339
201,1.6250475727803333e+18,-3.7897557103687185,-0.3384544410678908,-55.24595133227496,-72.24595133227496,-61.49800363783733,-46.245951332274956,,
202,1.6250475731136668e+18,-3.7897557103687185,-0.3384544410678908,-49.245951332274956,-72.24595133227496,-58.0,-45.88587392869641,-63.050225861934386,-50.50981264085767
203,1.625047573447e+18,-3.784807655975185,-0.32180979005871374,-53.0,-71.47128104620114,-61.63568723392348,-47.03707201955286,-64.22020246011415,-48.97593900912252
204,1.6250475737803333e+18,-3.789291787494509,-0.31491915427975836,-52.22645033799738,-74.03707201955287,-58.0,-48.47128104620114,,
205,1.6250475741136668e+18,-3.789291787494509,-0.31491915427975836,-55.0,-73.81698947597886,-66.12410727762816,-46.245951332274956,-65.68427091407203,-48.97593900912252
206,1.625047574447e+18,-3.781095083135475,-0.30637456894464593,-52.87616304291802,-70.88669256972092,-63.0,-48.47128104620114,-62.996519326985904,-50.96244796893301
207,1.6250475747803333e+18,-3.781095083135475,-0.30637456894464593,-55.0,-72.0,,-49.03707201955286,,
208,1.6250475751136668e+18,-3.781095083135475,-0.30637456894464593,-54.0,-69.24595133227496,-65.55489532554688,-46.24875224668998,-62.77271720661392,-49.43836726501453
