,ts,x,heading,y,rssi_3,rssi_4,rssi_5,rssi_8,rssi_10,rssi_11
1513,1.6279979588936668e+18,-4.331212472362126,-32.88794002503845,1.7522440438534796,-46.245951332274956,-58.22020246011414,-55.24595133227496,-52.155391906864665,-64.81698947597886,-56.92358370267847
1514,1.627997959227e+18,-4.307040146622465,-32.87664975655933,1.6021527222508267,-43.22020246011414,-61.0,-62.03707201955286,-41.0,-63.816989475978865,-52.03707201955286
1515,1.6279979595603333e+18,-4.285329513309057,-32.87051322014357,1.4613173382870948,-47.37137961520602,-62.0,-57.47128104620114,-50.39722871117527,-65.67834375675554,-54.47128104620114
1516,1.6279979598936668e+18,-4.285329513309057,-32.87051322014357,1.4613173382870948,-45.816989475978865,-66.98528966022042,-57.81698947597886,-48.0,-64.55489532554688,-54.47128104620114
1517,1.627997960227e+18,-4.261559384842677,-32.85485801056798,1.3153231587847263,-47.220202460114145,-67.78975051398773,-57.73323787389237,-43.0,-61.18929114715471,-55.25725354390243
1518,1.6279979605603333e+18,-4.237170966467411,-32.84439825703135,1.1740848299253281,-47.03707201955286,-66.0,-62.245951332274956,-46.7109140675446,-54.67834375675554,-59.797915937497265
1519,1.6279979608936668e+18,-4.237170966467411,-32.84439825703135,1.1740848299253281,-47.5028333109472,-68.52724374661273,-55.94200867351528,-44.08210209107896,-60.47128104620114,-62.88587392869641
1520,1.627997961227e+18,-4.214529174186782,-32.831191859625555,1.0250924862991329,,-78.0,-56.49533053638751,-46.42997763405458,-60.88587392869641,-51.816989475978865
1521,1.6279979615603333e+18,-4.190458711536606,-32.82215265885501,0.8732260746377606,,-71.48304604390742,-56.816989475978865,,-58.22020246011414,-54.0
1522,1.6279979618936668e+18,-4.190458711536606,-32.82215265885501,0.8732260746377606,,-72.0,-59.47128104620114,-45.0,-62.0,-55.55489532554688
1523,1.627997962227e+18,-4.164810713879874,-32.80023285413749,0.7246431339374294,-48.79791593749726,-71.6982539887523,-60.816989475978865,-44.982983913290425,-56.94200867351529,-52.016158556852545
1524,1.6279979625603333e+18,-4.139365191426239,-32.794650892981075,0.578325000481074,-47.817611861592994,-69.0,-57.4581584290005,-44.833277173746865,-59.81698947597886,-49.37137961520602
1525,1.6279979628936668e+18,-4.139365191426239,-32.794650892981075,0.578325000481074,-47.55489532554687,-68.13086415464498,-57.220202460114145,-45.94200867351528,-60.326556253743426,-51.902557701520244
1526,1.627997963227e+18,-4.112069810894559,-32.79234523878992,0.4326542365678975,-47.81698947597886,-71.05448044746933,-59.03707201955286,-44.840757063844485,-57.67834375675554,-50.79791593749726
1527,1.6279979635603333e+18,-4.0839536971689325,-32.78076130914184,0.2776593642912569,-46.74457620067879,-73.0,-64.55489532554688,-47.59637310505756,-66.67834375675554,-51.37137961520602
1528,1.6279979638936668e+18,-4.0839536971689325,-32.78076130914184,0.2776593642912569,-50.37137961520601,-69.05448044746933,-65.74457620067878,-51.55489532554688,-61.245951332274956,-46.49533053638751
1529,1.627997964227e+18,-4.049725711305496,-32.769921885106356,0.1330908788322943,-52.245951332274956,-64.92358370267848,-60.875090735559425,-44.96016958846595,-60.37137961520601,-51.88587392869641
